appname,applink,appinstallcount,appsize,appcomment
QQ,https://www.wandoujia.com/apps/com.tencent.mobileqq,21.5亿,65.79,老牌聊天软件，装载童年
微信,https://www.wandoujia.com/apps/com.tencent.mm,21.5亿,96.35,每个人手机必装的聊天软件
酷狗音乐,https://www.wandoujia.com/apps/com.kugou.android,10.5亿,60.77,人气音乐播放器，海量曲库
爱奇艺,https://www.wandoujia.com/apps/com.qiyi.video,8.6亿,39.41,追潮流新剧，看优质影片
抖音短视频,https://www.wandoujia.com/apps/com.ss.android.ugc.aweme,3亿,76.65,音乐短视频软件，记录生活
快手,https://www.wandoujia.com/apps/com.smile.gifmaker,5.6亿,72.3,记录生活中有趣的精彩瞬间
UC浏览器,https://www.wandoujia.com/apps/com.UCMobile,5.5亿,50.25,精彩资讯一刷即有
影音先锋,https://www.wandoujia.com/apps/com.xfplay.play,5.4亿,25.46,最具人性化体验的播放器
腾讯视频,https://www.wandoujia.com/apps/com.tencent.qqlive,6.6亿,39.26,三国机密全网独播
手机淘宝,https://www.wandoujia.com/apps/com.taobao.taobao,6.1亿,106.03,手机网购，一切商品全都有
MOMO陌陌,https://www.wandoujia.com/apps/com.immomo.momo,8.1亿,72.58,新奇在身边，发现身边有意思的人
优酷视频-这就是街舞,https://www.wandoujia.com/apps/com.youku.phone,9亿,49.38,知否知否应是绿肥红瘦、挑战吧太空尽在优酷
拼多多,https://www.wandoujia.com/apps/com.xunmeng.pinduoduo,1.7亿,18.57,9.9秒杀每天都有
QQ音乐,https://www.wandoujia.com/apps/com.tencent.qqmusic,4亿,58.1,我们用心做好音乐
全民K歌,https://www.wandoujia.com/apps/com.tencent.karaoke,3.2亿,66.93,五音不全？你也可以当歌星
支付宝,https://www.wandoujia.com/apps/com.eg.android.AlipayGphone,5.7亿,65.54,安全享受无现金支付
作业帮,https://www.wandoujia.com/apps/com.baidu.homework,2.2亿,64.97,小初高拍照搜题提分利器
百度,https://www.wandoujia.com/apps/com.baidu.searchbox,2.9亿,77.71,百度旗下权威搜索客户端
哔哩哔哩,https://www.wandoujia.com/apps/tv.danmaku.bili,2.8亿,90.59,弹幕视频应用，吐槽欢乐多
迅雷,https://www.wandoujia.com/apps/com.xunlei.downloadprovider,3.1亿,32.16,下载首选工具
高德地图,https://www.wandoujia.com/apps/com.autonavi.minimap,2.6亿人下载 ・,2.6亿人下载 ・,7亿人的地图导航
QQ浏览器,https://www.wandoujia.com/apps/com.tencent.mtt,2.2亿,33.79,多终端同步上网
百度网盘,https://www.wandoujia.com/apps/com.baidu.netdisk,3.3亿,57.18,相册通讯录备份，保护数据
网易云音乐,https://www.wandoujia.com/apps/com.netease.cloudmusic,1.3亿,54.1,口碑好，曲库全
QQ,https://www.wandoujia.com/apps/com.tencent.mobileqq,21.5亿,65.79,老牌聊天软件，装载童年
微信,https://www.wandoujia.com/apps/com.tencent.mm,21.5亿,96.35,每个人手机必装的聊天软件
酷狗音乐,https://www.wandoujia.com/apps/com.kugou.android,10.5亿,60.77,人气音乐播放器，海量曲库
爱奇艺,https://www.wandoujia.com/apps/com.qiyi.video,8.6亿,39.41,追潮流新剧，看优质影片
抖音短视频,https://www.wandoujia.com/apps/com.ss.android.ugc.aweme,3亿,76.65,音乐短视频软件，记录生活
快手,https://www.wandoujia.com/apps/com.smile.gifmaker,5.6亿,72.3,记录生活中有趣的精彩瞬间
UC浏览器,https://www.wandoujia.com/apps/com.UCMobile,5.5亿,50.25,精彩资讯一刷即有
影音先锋,https://www.wandoujia.com/apps/com.xfplay.play,5.4亿,25.46,最具人性化体验的播放器
腾讯视频,https://www.wandoujia.com/apps/com.tencent.qqlive,6.6亿,39.26,三国机密全网独播
手机淘宝,https://www.wandoujia.com/apps/com.taobao.taobao,6.1亿,106.03,手机网购，一切商品全都有
MOMO陌陌,https://www.wandoujia.com/apps/com.immomo.momo,8.1亿,72.58,新奇在身边，发现身边有意思的人
优酷视频-这就是街舞,https://www.wandoujia.com/apps/com.youku.phone,9亿,49.38,知否知否应是绿肥红瘦、挑战吧太空尽在优酷
拼多多,https://www.wandoujia.com/apps/com.xunmeng.pinduoduo,1.7亿,18.57,9.9秒杀每天都有
QQ音乐,https://www.wandoujia.com/apps/com.tencent.qqmusic,4亿,58.1,我们用心做好音乐
全民K歌,https://www.wandoujia.com/apps/com.tencent.karaoke,3.2亿,66.93,五音不全？你也可以当歌星
支付宝,https://www.wandoujia.com/apps/com.eg.android.AlipayGphone,5.7亿,65.54,安全享受无现金支付
作业帮,https://www.wandoujia.com/apps/com.baidu.homework,2.2亿,64.97,小初高拍照搜题提分利器
百度,https://www.wandoujia.com/apps/com.baidu.searchbox,2.9亿,77.71,百度旗下权威搜索客户端
哔哩哔哩,https://www.wandoujia.com/apps/tv.danmaku.bili,2.8亿,90.59,弹幕视频应用，吐槽欢乐多
迅雷,https://www.wandoujia.com/apps/com.xunlei.downloadprovider,3.1亿,32.16,下载首选工具
高德地图,https://www.wandoujia.com/apps/com.autonavi.minimap,2.6亿人下载 ・,2.6亿人下载 ・,7亿人的地图导航
QQ浏览器,https://www.wandoujia.com/apps/com.tencent.mtt,2.2亿,33.79,多终端同步上网
百度网盘,https://www.wandoujia.com/apps/com.baidu.netdisk,3.3亿,57.18,相册通讯录备份，保护数据
网易云音乐,https://www.wandoujia.com/apps/com.netease.cloudmusic,1.3亿,54.1,口碑好，曲库全
交管12123,https://www.wandoujia.com/apps/com.tmri.app.main,3152.5万,29.61,用心让交管更便捷
京东,https://www.wandoujia.com/apps/com.jingdong.app.mall,2.2亿,85.05,万千新品，天天折扣享不停
美团,https://www.wandoujia.com/apps/com.sankuai.meituan,2.3亿,102.37,吃喝玩乐全都有
快猫,https://www.wandoujia.com/apps/com.juyu.ml,123.7万,27.94,快猫破解增强版
学习强国,https://www.wandoujia.com/apps/cn.xuexi.android,63万,94.24,海量知识信息与丰富学习慕课
微博,https://www.wandoujia.com/apps/com.sina.weibo,2.2亿,79.88,上微博看热点资讯
竹鼠免费漫画大全,https://www.wandoujia.com/apps/com.mfmhdq.comic,40.3万,14.99,【产品简介】 免费漫画大全提供超过十万本本优质漫画，你想看的我们都有！ 涵盖国漫、日漫、韩漫、欧美等
西瓜视频,https://www.wandoujia.com/apps/com.ss.android.article.video,1.3亿,13.67,懂得生活趣味的人都在用
影视大全,https://www.wandoujia.com/apps/com.le123.ysdq,7781.7万,50.76,追剧更番快人一步
闲鱼,https://www.wandoujia.com/apps/com.taobao.idlefish,3761.1万,54.19,让你的闲置游起来
58同城,https://www.wandoujia.com/apps/com.wuba,1.7亿,63.49,让生活更简单
美图秀秀,https://www.wandoujia.com/apps/com.mt.mtxx.mtxx,2.3亿,64.46,超过4亿用户用的美图软件
360手机卫士,https://www.wandoujia.com/apps/com.qihoo360.mobilesafe,5.6亿,16.76,十亿人的安全选择
农行掌上银行,https://www.wandoujia.com/apps/com.android.bankabc,9142.9万,73.86,农行官方专用app
铃声多多,https://www.wandoujia.com/apps/com.shoujiduoduo.ringtone,1.6亿,14.46,装机必备，超强铃声应用
快对作业,https://www.wandoujia.com/apps/com.kuaiduizuoye.scan,948.2万,16.77,扫码搜教辅检查
快看漫画,https://www.wandoujia.com/apps/com.kuaikan.comic,1.1亿,34.56,超全原创漫画
今日头条,https://www.wandoujia.com/apps/com.ss.android.article.news,1.6亿,28.45,你关心的才是头条
中国建设银行,https://www.wandoujia.com/apps/com.chinamworld.main,1.3亿,136.1,在家享受建行各种服务
搜狗输入法,https://www.wandoujia.com/apps/com.sohu.inputmethod.sogou,4.7亿,37.34,打字精准、界面美的输入法
刷宝,https://www.wandoujia.com/apps/com.jm.video,129.7万,30.87,看视频，领福利
安全教育平台,https://www.wandoujia.com/apps/com.jzzs.ParentsHelper,1192.9万,14.23,安全教育移动版
